Id,Quote,Category,isUserMade
2,"I am patient with myself as I go through this wonderful journey of life",Self-Love,false
3,"It is only when you have mastered the art of loving yourself that you can truly love others",Self-Love,false
4,"I am enough, and I don’t need to change",Self-Love,false
5,"I am a positive person who attracts positive things into my life",Self-Love,false
6,"I trust my intuition and I am always guided to make wise decisions",Self-Love,false
7,"Every day, I put focus on caring for myself as I care for others",Self-Love,false
8,"I am not perfect, and that is a wonderful thing",Self-Love,false
9,"I love myself unconditionally",Self-Love,false
10,"I am worthy of success and happiness",Self-Love,false
11,"Whatever you do, always give 100%. Unless you’re donating blood",Funny,false
12,"You have to be odd to be number one",Funny,false
13,"I accept myself as I am right now. A hot mess",Funny,false
14,"If you’re lucky enough to be different, don’t ever change",Funny,false
15,"Am I good enough? Yes, I am",Funny,false
16,"If I could believe in Santa Claus for like 8 years, I can believe in myself for like 5 minutes",Funny,false
17,"I have no time for stress and worries because I’m too busy being awesome",Funny,false
18,"I’m too busy watering my own grass to notice if yours is greener",Funny,false
19,"I don’t wear the opinions of others. I learned to dress myself",Funny,false
20,"I'm like a four leaf clover, hard to find and lucky to have",Funny,false
21,"I trust that the things that are aligned with me will find me",Motivational,false
22,"I may be one in 7 billion but I am also one in 7 billion",Motivational,false
23,"Giving up is easy and always an option so let’s delay it for another day",Motivational,false
24,"I am a valuable member of my community and contribute positively to the world around me",Motivational
25,"I am open to new experiences and challenges, which help me grow and learn",Motivational,false
26,"I am deserving of success and prosperity",Motivational,false
27,"All this hard work I am putting into achieving my goals will pay off",Motivational,false
28,"Growth is sometimes bumpy and isn’t always linear, but I will stay the course",Motivational,false
29,"I support initiatives that promote understanding and respect",Motivational,false
30,"I have done difficult things in the past, and I can do them again",Motivational,false
